extraction_date,extraction_timestamp,season,fantasy_team_id,fantasy_team_name,fantasy_team_abbrev,team_owner,player_name,player_id_espn,position,eligible_positions,pro_team,currently_rostered,injury_status,acquisition_type,season_avg_pts,season_total_pts,nine_cat_pts,nine_cat_blk,nine_cat_stl,nine_cat_ast,nine_cat_reb,nine_cat_to,nine_cat_3pm,nine_cat_fg%,nine_cat_ft%
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Michael Porter Jr.,4278104,SF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",BKN,True,ACTIVE,"D,R,A,F,T",0,0,25.8,0.3,0.9,3.2,7.6,2.2,3.5,0.496,0.818
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Paul George,4251,SF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",PHL,True,ACTIVE,"D,R,A,F,T",0,0,14.1,0.4,1.6,3.1,5.0,1.4,1.9,0.418,0.815
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Tari Eason,4433192,SF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",HOU,True,OUT,"D,R,A,F,T",0,0,11.5,0.5,0.8,1.6,5.2,1.7,2.5,0.495,0.714
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Naz Reid,4396971,C,"PF,C,F,G/F,PF/C,F/C,UT,BE,IR",MIN,True,ACTIVE,"D,R,A,F,T",0,0,13.5,0.9,1.0,2.3,6.0,1.5,2.3,0.454,0.767
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Herbert Jones,4277813,SF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",NOP,True,ACTIVE,"D,R,A,F,T",0,0,9.9,0.3,1.6,2.4,3.9,1.5,1.5,0.404,0.786
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Jordan Clarkson,2528426,SG,"SG,SF,G,F,SG/SF,G/F,F/C,UT,BE,IR",NYK,True,ACTIVE,"D,R,A,F,T",0,0,9.8,0.2,0.4,1.7,2.0,1.2,1.2,0.426,0.833
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Brandin Podziemski,4709138,SG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",GSW,True,ACTIVE,"A,D,D",0,0,12.5,0.2,1.2,3.0,4.7,1.5,2.0,0.441,0.767
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Jaime Jaquez Jr.,4432848,SF,"SG,SF,G,F,SG/SF,G/F,F/C,UT,BE,IR",MIA,True,ACTIVE,"A,D,D",0,0,15.8,0.3,0.7,5.1,6.0,2.1,0.3,0.516,0.767
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Klay Thompson,6475,SG,"SG,SF,G,F,SG/SF,G/F,F/C,UT,BE,IR",DAL,True,DAY_TO_DAY,"A,D,D",0,0,11.0,0.3,0.3,1.3,2.6,0.8,2.7,0.366,0.8
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Anthony Davis,6583,C,"PF,C,F,G/F,PF/C,F/C,UT,BE,IR",DAL,True,ACTIVE,"D,R,A,F,T",0,0,19.6,1.6,1.2,3.2,10.2,1.7,0.7,0.523,0.69
