sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
86,4,6,1,B,26,62,17,23,4,24,73,32,15,4,2,8,0,20,44,12,15,5,13,57,22,13,4,1,6,1
87,9,0,2,A,28,64,19,22,10,25,85,32,13,5,5,7,1,18,49,12,14,5,14,53,20,11,4,1,7,1
88,8,3,0,A,37,61,19,25,9,23,102,32,14,5,4,7,0,23,47,12,15,5,13,63,21,10,3,1,6,1
89,9,2,0,A,31,63,18,23,10,26,90,31,14,5,5,7,2,22,48,13,15,2,14,59,20,13,4,0,5,1
90,9,1,1,A,23,61,20,23,9,24,75,34,15,5,4,7,2,21,45,11,15,3,13,56,21,13,4,2,7,1
91,8,3,0,A,26,63,23,24,8,25,83,33,13,5,3,8,0,25,49,8,13,4,15,62,22,12,4,1,7,1
92,6,4,1,A,28,61,17,22,7,25,80,32,15,6,4,8,1,26,48,12,14,4,14,68,22,12,4,1,6,1
93,9,2,0,A,33,59,18,24,13,25,97,30,16,5,4,7,0,26,48,9,14,6,13,67,22,10,4,1,4,1
94,7,4,0,A,28,60,19,23,10,24,85,29,15,5,4,7,0,23,47,11,13,5,14,62,22,14,3,2,6,1
95,8,2,1,A,31,61,18,22,8,25,88,31,13,6,4,8,2,27,53,10,13,4,16,68,25,13,3,1,7,1
96,10,1,0,A,32,61,24,25,10,25,98,32,15,6,3,8,1,17,46,9,14,3,13,46,20,12,4,1,5,0
97,7,2,2,A,28,59,17,24,9,23,82,32,14,5,3,8,1,17,48,12,14,3,13,49,22,14,4,1,6,1
98,9,1,1,A,36,64,19,23,12,24,103,32,15,5,4,7,1,23,49,12,15,4,14,62,20,10,4,1,4,1
99,7,3,1,A,18,59,23,24,2,23,61,32,13,6,2,7,2,23,49,11,13,3,15,60,20,11,5,1,7,1
100,7,3,1,A,30,59,15,24,9,23,84,30,15,5,5,8,1,19,46,9,13,6,13,53,19,12,4,1,6,1
101,6,3,2,A,27,58,20,24,6,24,80,32,14,5,5,8,1,23,47,13,15,2,13,61,22,14,3,1,7,1
102,9,2,0,A,33,61,21,25,8,25,95,34,15,5,3,8,1,19,47,12,14,3,14,53,22,13,3,1,6,0
103,9,1,1,A,26,62,18,25,10,25,80,30,13,6,4,8,1,18,48,6,12,2,14,44,23,13,4,1,5,0
104,6,3,2,A,28,60,19,23,7,23,82,30,12,6,5,8,0,18,46,15,16,5,13,56,18,12,4,1,5,0
105,7,2,2,A,25,59,20,23,6,24,76,32,14,5,3,8,0,19,45,12,14,5,12,55,16,14,4,1,6,0
106,8,2,1,A,31,63,21,24,10,25,93,30,16,4,4,7,0,23,49,13,17,5,14,64,20,14,4,1,6,1
107,7,3,1,A,24,60,19,22,9,24,76,32,13,6,3,8,0,22,46,15,16,4,14,63,20,12,3,1,7,0
108,8,1,2,A,37,59,20,24,17,25,111,32,15,5,3,7,0,18,46,10,14,3,14,49,20,10,5,1,6,0
109,7,2,2,A,37,60,20,23,12,24,106,31,13,4,2,7,1,16,44,11,13,1,13,44,20,14,4,2,6,0
110,7,2,2,A,20,61,19,22,7,24,66,33,15,4,4,7,1,19,48,9,15,4,14,51,21,12,4,1,5,1
111,8,3,0,A,29,59,19,23,8,23,85,29,13,5,4,8,1,26,49,10,15,6,15,68,21,12,4,1,4,0
112,8,2,1,A,29,61,21,24,9,25,88,30,15,4,4,7,0,20,47,10,13,2,13,52,20,9,4,1,5,1
113,8,2,1,A,28,61,20,23,8,24,84,33,14,6,4,8,1,20,49,11,14,5,14,56,22,11,4,1,6,1
114,8,1,2,A,32,64,16,22,9,26,89,32,14,5,3,7,1,23,48,13,15,4,13,63,20,14,4,2,7,0
115,6,3,2,A,28,61,17,21,10,25,83,30,13,4,4,9,0,24,50,10,15,4,14,62,21,13,4,2,4,1
116,7,3,1,A,28,62,21,24,7,25,84,32,15,6,3,7,1,25,49,12,13,6,14,68,21,14,4,1,7,0
117,7,3,1,A,31,62,20,26,12,26,94,32,12,5,4,8,0,22,46,9,13,4,14,57,20,14,5,1,6,1
118,8,2,1,A,23,60,17,20,10,24,73,33,14,5,3,8,0,22,43,10,15,2,12,56,19,10,4,1,6,0
119,5,4,2,A,30,62,19,24,8,25,87,31,13,5,3,8,1,27,46,8,14,5,13,67,19,14,5,1,6,1
120,7,4,0,A,28,61,18,23,9,24,83,30,15,5,3,7,0,26,44,10,14,5,13,67,22,13,4,1,5,1
121,9,2,0,A,31,61,18,22,10,25,90,30,14,6,4,7,2,24,47,10,13,4,13,62,20,13,4,1,6,0
122,7,4,0,A,28,62,22,27,9,25,87,30,15,6,6,8,0,22,48,13,15,1,13,58,20,14,4,1,6,1
123,8,3,0,A,32,62,18,22,12,25,94,32,13,5,3,8,0,22,51,11,13,4,15,59,22,12,4,0,5,1
124,4,4,3,TIE,24,58,21,23,6,24,75,30,14,6,2,8,0,27,47,11,16,7,13,72,19,14,4,2,6,0
125,5,4,2,A,25,57,19,22,3,22,72,33,14,4,3,7,0,22,48,12,14,4,15,60,20,13,4,1,6,0
126,7,3,1,A,27,60,20,22,7,25,81,30,13,5,3,8,1,20,48,12,15,4,13,56,17,14,3,2,4,1
127,9,1,1,A,29,61,24,25,9,24,91,28,12,5,3,8,1,19,46,9,14,4,13,51,21,11,3,1,6,1
128,8,3,0,A,33,60,16,24,11,24,93,30,15,5,4,8,0,19,48,10,14,1,14,49,21,12,4,1,7,1
129,8,2,1,A,27,60,15,21,11,23,80,30,14,5,6,8,0,22,50,12,15,4,14,60,19,12,4,1,5,0
130,9,2,0,A,33,60,15,21,9,23,90,31,14,6,3,7,1,15,47,13,13,1,14,44,19,13,4,1,5,0
131,7,4,0,A,25,63,20,23,9,25,79,30,16,5,4,8,0,24,48,10,14,5,13,63,22,13,4,1,5,1
132,4,4,3,TIE,24,58,20,25,7,24,75,30,14,4,3,8,0,23,44,13,16,6,12,65,21,14,4,1,5,0
133,9,2,0,A,31,61,25,25,10,24,97,31,13,5,3,7,0,21,50,9,13,4,14,55,22,12,3,1,6,1
134,6,5,0,A,24,61,17,21,6,25,71,32,13,6,3,8,1,23,48,13,15,5,14,64,20,14,4,1,4,0
135,6,5,0,A,25,58,16,22,8,25,74,32,14,5,3,7,0,22,48,13,15,2,14,59,21,15,4,1,6,1
136,5,3,3,A,27,62,19,25,7,26,80,31,14,5,4,8,0,24,49,12,16,7,15,67,21,14,4,1,5,0
137,6,4,1,A,17,61,18,22,4,25,56,33,14,6,4,8,1,24,46,7,17,4,13,59,18,11,4,1,5,0
138,9,2,0,A,31,60,20,24,12,24,94,32,16,5,4,7,2,22,46,15,16,3,13,62,21,13,4,1,5,1
139,7,2,2,A,31,62,20,24,12,26,94,30,14,5,3,7,1,25,48,14,17,4,13,68,20,14,5,1,6,0
140,6,5,0,A,23,61,19,23,8,25,73,30,16,5,4,7,0,21,49,10,12,5,15,57,20,12,4,1,5,1
141,7,4,0,A,25,61,22,23,9,24,81,30,12,6,4,8,0,17,48,15,16,5,13,54,20,14,4,1,4,1
142,7,3,1,A,28,59,17,21,7,24,80,30,14,5,4,7,0,22,47,12,15,6,13,62,21,14,3,1,4,1
143,8,0,3,A,32,60,20,23,9,23,93,31,15,5,2,7,0,15,50,10,12,1,15,41,19,13,4,2,7,0
144,6,4,1,A,32,60,20,26,9,24,93,33,12,4,3,8,0,17,48,14,14,2,14,50,19,13,4,2,7,1
145,6,5,0,A,24,61,20,25,7,24,75,32,12,5,2,7,1,19,46,13,15,6,13,57,20,13,3,1,6,0
146,6,3,2,A,24,63,17,22,9,25,74,29,15,4,4,8,0,24,49,12,15,4,15,64,20,13,4,1,4,0
147,8,1,2,A,27,62,20,24,9,25,83,31,14,5,4,8,1,20,47,10,12,3,13,53,23,12,4,1,6,1
148,6,3,2,A,22,56,23,24,6,21,73,31,15,5,3,8,0,27,46,14,14,4,14,72,24,14,4,2,6,0
149,7,4,0,A,32,62,16,20,13,25,93,33,13,5,4,7,1,26,47,14,16,7,13,73,20,11,4,2,6,0
150,8,2,1,A,34,61,19,23,7,25,94,34,14,6,4,7,1,27,50,12,16,6,14,72,20,14,4,1,6,0
